Date,Symbol,Open,High,Low,Close,Adj Close,Volume
6/12/2013,AAPL,62.785713,63.035713,61.642857,61.741428,48.434486,66306800
6/13/2013,AAPL,61.785713,62.44857,61.25,62.279999,48.856991,71458100
6/14/2013,AAPL,62.200001,62.327145,61.214287,61.435715,48.194675,67966500
6/17/2013,AAPL,61.634285,62.242859,61.48,61.714287,48.4132,64853600
6/18/2013,AAPL,61.651428,62.128571,61.458572,61.681427,48.387424,48756400
6/19/2013,AAPL,61.628571,61.665714,60.42857,60.42857,47.404587,77735000
6/20/2013,AAPL,59.900002,60.854286,59.310001,59.548573,46.714264,89327700
6/21/2013,AAPL,59.784286,60,58.299999,59.07143,46.339951,120279600
6/24/2013,AAPL,58.200001,58.380001,56.864285,57.505714,45.111698,120186500
6/25/2013,AAPL,57.957142,58.255714,56.975716,57.51857,45.121765,78540700
6/26/2013,AAPL,57.700001,57.827145,56.522858,56.867142,44.610741,91931000
6/27/2013,AAPL,57.035713,57.341427,56.220001,56.254284,44.129971,84311500
6/28/2013,AAPL,55.908573,57.181427,55.552856,56.647144,44.438164,144629100
7/1/2013,AAPL,57.527142,58.895714,57.317142,58.459999,45.860298,97763400
7/2/2013,AAPL,58.565716,60.232857,58.495716,59.784286,46.899162,117466300
7/3/2013,AAPL,60.122856,60.425713,59.635715,60.114285,47.158039,60232200
7/5/2013,AAPL,60.055714,60.470001,59.335712,59.631428,46.779251,68506200
7/8/2013,AAPL,60.015713,60.142857,58.664288,59.292858,46.51366,74534600
7/9/2013,AAPL,59.085712,60.5,58.625713,60.335712,47.331741,88146100
7/10/2013,AAPL,59.942856,60.685715,59.75,60.104286,47.150196,70351400
7/11/2013,AAPL,60.421429,61.17857,60.167141,61.041428,47.885357,81573100
7/12/2013,AAPL,61.092857,61.398571,60.487144,60.93,47.797943,69890800
7/15/2013,AAPL,60.715714,61.637142,60.685715,61.062859,47.902172,60479300
7/16/2013,AAPL,60.931427,61.529999,60.595715,61.457142,48.211479,54134500
7/17/2013,AAPL,61.385715,61.745716,61.174286,61.472858,48.223812,49747600
7/18/2013,AAPL,61.91143,62.124287,61.515713,61.68,48.386299,54719700
7/19/2013,AAPL,61.871429,61.997143,60.621429,60.707142,47.623127,67180400
7/22/2013,AAPL,61.351429,61.392857,60.781429,60.901428,47.775539,51949100
7/23/2013,AAPL,60.857143,60.994286,59.815716,59.855713,46.955208,92348900
7/24/2013,AAPL,62.704285,63.512856,62.18,62.93,49.366905,147984200
7/25/2013,AAPL,62.957142,63.057144,62.258572,62.642857,49.14164,57373400
7/26/2013,AAPL,62.185715,63.005714,62.048573,62.998573,49.420692,50038100
7/29/2013,AAPL,62.971428,64.284286,62.885715,63.970001,50.182755,62014400
7/30/2013,AAPL,64.279999,65.307144,64.175713,64.760002,50.802479,77355600
7/31/2013,AAPL,64.998573,65.334282,64.204285,64.647141,50.713947,80739400
8/1/2013,AAPL,65.10714,65.257141,64.751427,65.239998,51.17902,51562700
8/2/2013,AAPL,65.43,66.121429,65.237144,66.077141,51.835732,68695900
8/5/2013,AAPL,66.384285,67.238571,66.021431,67.064285,52.610134,79713900
8/6/2013,AAPL,66.860001,67.412857,66.024284,66.464287,52.139446,83714400
8/7/2013,AAPL,66.257141,66.714287,65.96714,66.425713,52.109192,74714500
